Entity,Code,Year,CO₂ from gas (million tonnes),CO₂ from solid fuel (million tonnes),CO₂ from liquid (million tonnes),CO₂ from cement (million tonnes),CO₂ from flaring (million tonnes)
Africa,,1884,0,0.02202,0,0,0
Africa,,1885,0,0.0367,0,0,0
Africa,,1886,0,0.04771,0,0,0
Africa,,1887,0,0.04771,0,0,0
Africa,,1888,0,0.08074,0,0,0
Africa,,1889,0,0.13212,0,0,0
Africa,,1890,0,0.29727,0,0,0
Africa,,1891,0,0.29727,0,0,0
Africa,,1892,0,0.48077,0,0,0
Africa,,1893,0,1.80197,0,0,0
Africa,,1894,0,2.43688,0,0,0
Africa,,1895,0,3.34337,0,0,0
Africa,,1896,0,4.26454,0,0,0
Africa,,1897,0,4.78568,0,0,0
Africa,,1898,0,6.05917,0,0,0
Africa,,1899,0,5.52702,0,0,0
Africa,,1900,0,2.33412,0,0,0
Africa,,1901,0,3.91589,0,0,0
Africa,,1902,0,5.8353,0,0,0
Africa,,1903,0,7.90885,0,0,0
Africa,,1904,0,8.92544,0,0,0
Africa,,1905,0,10.27967,0,0,0
Africa,,1906,0,11.73666,0,0,0
Africa,,1907,0,12.95143,0,0,0
Africa,,1908,0,13.42486,0,0,0
Africa,,1909,0,15.41033,0,0,0
Africa,,1910,0,17.43984,0,0,0
Africa,,1911,0,16.882,0.01101,0,0
Africa,,1912,0,17.89859,0.08441,0,0
Africa,,1913,0,19.5978,0.04037,0,0
Africa,,1914,0,19.27484,0.30828,0,0
Africa,,1915,0,19.54642,0.09175,0,0
Africa,,1916,0,23.10999,0.1835,0,0
Africa,,1917,0,24.95967,0.42572,0,0
Africa,,1918,0,23.89537,0.86979,0,0
Africa,,1919,0,24.79452,0.69363,0,0
Africa,,1920,0,27.63877,0.45875,0,0
Africa,,1921,0,27.46995,0.56151,0,0
Africa,,1922,0,23.47699,0.53582,0,0
Africa,,1923,0,28.61866,0.47343,0,0
Africa,,1924,0,30.17841,0.50646,0,0
Africa,,1925,0,31.67577,0.56151,0,0
Africa,,1926,0,33.95851,0.53582,0,0
Africa,,1927,0,33.3236,0.57252,0,0
Africa,,1928,0,33.87043,0.82575,0.12845,0
Africa,,1929,0,34.64847,0.84777,0.37067,0
Africa,,1930,0,32.60795,0.88447,0.26424,0
Africa,,1931,0,28.35075,0.89181,0.26424,0
Africa,,1932,0,25.3964,0.83676,0.43673,0
Africa,,1933,0,27.33783,0.73767,0.46976,0
